,fluxes,equ,ec-code,kcat_MW,E
EX_mso3_e,0.0,mso3_e --> ,,,
EX_n2_e,0.0,n2_e --> ,,,
EX_na1_e,0.0,na1_e --> ,,,
EX_nac_e,535.8325732924011,nac_e --> ,,,
EX_nh4_e,521.4776922577836,nh4_e --> ,,,
EX_ni2_e,0.0,ni2_e --> ,,,
EX_nmn_e,0.0,nmn_e --> ,,,
EX_no2_e,0.0,no2_e --> ,,,
EX_no3_e,0.0,no3_e --> ,,,
EX_nona_e,0.0,nona_e --> ,,,
EX_novbcn_e,0.0,novbcn_e --> ,,,
EX_o2_e,0.0,o2_e --> ,,,
EX_oaa_e,0.0,oaa_e --> ,,,
EX_octa_e,0.0,octa_e --> ,,,
EX_orn__D_e,0.0,orn__D_e --> ,,,
EX_orn__L_e,0.0,orn__L_e --> ,,,
EX_orn_e,0.0,orn_e --> ,,,
EX_orot_e,0.0,orot_e --> ,,,
EX_oxa_e,0.0,oxa_e --> ,,,
EX_p_xyl_e,0.0,p_xyl_e --> ,,,
EX_pacald_e,0.0,pacald_e --> ,,,
EX_pea_e,0.0,pea_e --> ,,,
EX_peamn_e,0.0,peamn_e --> ,,,
EX_peng_e,0.0,peng_e --> ,,,
EX_pentso3_e,0.0,pentso3_e --> ,,,
EX_phe__L_e,0.0,phe__L_e --> ,,,
EX_phedca_e,0.0,phedca_e --> ,,,
EX_phehpa_e,0.0,phehpa_e --> ,,,
EX_phehxa_e,0.0,phehxa_e --> ,,,
EX_pheme_e,0.0,pheme_e --> ,,,
EX_phenona_e,0.0,phenona_e --> ,,,
EX_pheocta_e,0.0,pheocta_e --> ,,,
EX_phept_e,0.0,phept_e --> ,,,
EX_pi_e,765.670720617112,pi_e --> ,,,
EX_pime_e,0.0,pime_e --> ,,,
EX_pnto__R_e,0.0,pnto__R_e --> ,,,
EX_ppa_e,0.0,ppa_e --> ,,,
EX_ppap_e,-1.0653077629772806e-13,ppap_e --> ,,,
EX_ppat_e,0.0,ppat_e --> ,,,
EX_ppi_e,0.0,ppi_e --> ,,,
EX_pro__L_e,0.0,pro__L_e --> ,,,
EX_progly_e,0.0,progly_e --> ,,,
EX_prohisglu_e,0.0,prohisglu_e --> ,,,
EX_psclys_e,0.0,psclys_e --> ,,,
EX_pta_e,0.0,pta_e --> ,,,
EX_ptrc_e,0.0,ptrc_e --> ,,,
EX_ptsla_e,0.0,ptsla_e --> ,,,
EX_pyovd_kt_e,0.0,pyovd_kt_e --> ,,,
EX_pyr_e,0.0,pyr_e --> ,,,
EX_quin_e,0.0,quin_e --> ,,,
EX_raffin_e,0.0,raffin_e --> ,,,
EX_rbt_e,0.0,rbt_e --> ,,,
EX_rib__D_e,0.0,rib__D_e --> ,,,
EX_ribflv_e,0.0,ribflv_e --> ,,,
EX_rmn_e,0.0,rmn_e --> ,,,
EX_s_e,0.0,s_e --> ,,,
EX_salc_e,0.0,salc_e --> ,,,
EX_salchs2_e,0.0,salchs2_e --> ,,,
EX_salchs4fe_e,0.0,salchs4fe_e --> ,,,
EX_salcn_e,0.0,salcn_e --> ,,,
EX_sbt__D_e,0.0,sbt__D_e --> ,,,
EX_sel_e,0.0,sel_e --> ,,,
EX_ser__D_e,0.0,ser__D_e --> ,,,
EX_ser__L_e,0.0,ser__L_e --> ,,,
EX_serglugly_e,0.0,serglugly_e --> ,,,
EX_skm_e,0.0,skm_e --> ,,,
EX_slnt_e,0.0,slnt_e --> ,,,
EX_so4_e,0.0,so4_e --> ,,,
EX_spmd_e,0.0,spmd_e --> ,,,
EX_stfrnA_e,0.0,stfrnA_e --> ,,,
EX_stfrnB_e,0.0,stfrnB_e --> ,,,
EX_succ_e,98.38866223268434,succ_e --> ,,,
EX_sucr_e,0.0,sucr_e --> ,,,
EX_sula_e,0.0,sula_e --> ,,,
EX_sulfac_e,0.0,sulfac_e --> ,,,
EX_tag__D_e,0.0,tag__D_e --> ,,,
EX_tartr__D_e,0.0,tartr__D_e --> ,,,
EX_tartr__L_e,0.0,tartr__L_e --> ,,,
EX_taur_e,0.0,taur_e --> ,,,
EX_tcynt_e,0.0,tcynt_e --> ,,,
EX_tgt_e,0.0,tgt_e --> ,,,
EX_thm_e,0.0,thm_e --> ,,,
EX_thr__L_e,0.0,thr__L_e --> ,,,
EX_thym_e,0.0,thym_e --> ,,,
EX_tma_e,0.0,tma_e --> ,,,
EX_tmao_e,0.0,tmao_e --> ,,,
EX_tnt_e,0.0,tnt_e --> ,,,
EX_tol_e,0.0,tol_e --> ,,,
EX_tre_e,0.0,tre_e --> ,,,
EX_trp__L_e,0.0,trp__L_e --> ,,,
EX_tsul_e,0.0,tsul_e --> ,,,
EX_tton_e,0.0,tton_e --> ,,,
EX_ttrcyc_e,0.0,ttrcyc_e --> ,,,
EX_tym_e,0.0,tym_e --> ,,,
EX_tyr__L_e,0.0,tyr__L_e --> ,,,
EX_udcpdp_e,0.0,udcpdp_e --> ,,,
EX_udcpp_e,0.0,udcpp_e --> ,,,
EX_ura_e,0.0,ura_e --> ,,,
EX_urate_e,0.0,urate_e --> ,,,
EX_urea_e,0.0,urea_e --> ,,,
EX_val__D_e,0.0,val__D_e --> ,,,
EX_val__L_e,0.0,val__L_e --> ,,,
EX_vanln_e,0.0,vanln_e --> ,,,
EX_vanlt_e,0.0,vanlt_e --> ,,,
EX_xan_e,0.0,xan_e --> ,,,
EX_xyl3_e,0.0,xyl3_e --> ,,,
EX_xyl__D_e,0.0,xyl__D_e --> ,,,
EX_xylan4_e,0.0,xylan4_e --> ,,,
EX_xylb_e,0.0,xylb_e --> ,,,
EX_zn2_e,0.0,zn2_e --> ,,,
12DGR120tipp,0.0,12dgr120_p --> 12dgr120_c,,,
12DGR140tipp,0.0,12dgr140_p --> 12dgr140_c,,,
12DGR141tipp,0.0,12dgr141_p --> 12dgr141_c,,,
12DGR160tipp,0.0,12dgr160_p --> 12dgr160_c,,,
12DGR161tipp,0.0,12dgr161_p --> 12dgr161_c,,,
12DGR180tipp,0.0,12dgr180_p --> 12dgr180_c,,,
12DGR181tipp,0.0,12dgr181_p --> 12dgr181_c,,,
12PPDRDH,0.0,12ppd__R_c --> h2o_c + ppal_c,,,
12PPDt,0.0,12ppd__S_e --> 12ppd__S_c,,,
13DAMPPabcpp,0.0,13dampp_p + atp_c + h2o_c --> 13dampp_c + adp_c + h_c + pi_c,,,
13DAMPPtex,0.0,13dampp_e --> 13dampp_p,,,
1P2CBXLCYCL,0.0,5a2opntn_c --> 1p2cbxl_c + h2o_c + h_c,,,
1P2CBXLR,0.0,1p2cbxl_c + 2.0 h_c + nadph_c --> nadp_c + pro__L_c,,,
1PPDCRc,0.0,1pipdn2c_c + h_c + nadph_c --> Lpipecol_c + nadp_c,"1.5.1.1,1.5.1.21,1.5.1.25",,
1PY4h3cAH,0.0,1py4h3c_c + h2o_c + h_c --> 25dop_c + nh4_c,,1605.4482527632017,0.0
23CTI1,0.0,decoa_c --> dc2coa_c + h_c,,,
23CTI2,-4.4783115197598176e-15,dded3coa_c --> dd2coa_c,,,
23CTI3,0.0,dd_3_6_coa_c --> dd6_2_coa_c,,,
24DECOAR,0.0,dec4_2_coa_c + h_c + nadph_c --> dc2coa_c + nadp_c,,,
25DKGLCNt2rpp,0.0,25dkglcn_p + h_p --> 25dkglcn_c + h_c,,,
25DKGLCNtex,0.0,25dkglcn_e --> 25dkglcn_p,,,
2AACLPGT161,0.0,2agpg161_c + hdeACP_c --> ACP_c + pg161_c,,,
2AACLPPEAT161,0.0,2agpe161_c + hdeACP_c --> ACP_c + pe161_c,,,
2ACLMM,0.0,alac__S_c --> 33hmeoxobut_c,,,
2AGPE120tipp,0.0,2agpe120_p --> 2agpe120_c,,,
2AGPE140tipp,0.0,2agpe140_p --> 2agpe140_c,,,
2AGPE141tipp,0.0,2agpe141_p --> 2agpe141_c,,,
2AGPE160tipp,0.0,2agpe160_p --> 2agpe160_c,,,
2AGPE161tipp,0.0,2agpe161_p --> 2agpe161_c,,,
2AGPE180tipp,0.0,2agpe180_p --> 2agpe180_c,,,
2AGPE181tipp,0.0,2agpe181_p --> 2agpe181_c,,,
2AGPEAT120_num1,0.0,2agpe120_c + atp_c + ddca_c --> amp_c + pe120_c + ppi_c,,1608.8598139168282,0.0
2AGPEAT140_num1,0.0,2agpe140_c + atp_c + ttdca_c --> amp_c + pe140_c + ppi_c,,1123.9287554050056,0.0
2AGPEAT141_num1,0.0,2agpe141_c + atp_c + ttdcea_c --> amp_c + pe141_c + ppi_c,,1313.3549501361863,0.0
2AGPEAT160_num1,0.0,2agpe160_c + atp_c + hdca_c --> amp_c + pe160_c + ppi_c,2.3.1.40,1827.33135850679,0.0
2AGPEAT161_num1,0.0,2agpe161_c + atp_c + hdcea_c --> amp_c + pe161_c + ppi_c,,2175.8755568121624,0.0
2AGPEAT180_num1,0.0,2agpe180_c + atp_c + ocdca_c --> amp_c + pe180_c + ppi_c,2.3.1.40,1576.0259401634237,0.0
2AGPEAT181_num1,0.0,2agpe181_c + atp_c + ocdcea_c --> amp_c + pe181_c + ppi_c,,2451.1749598214783,0.0
2AGPG120tipp,0.0,2agpg120_p --> 2agpg120_c,,,
2AGPG141tipp,0.0,2agpg141_p --> 2agpg141_c,,,
2AGPG160tipp,0.0,2agpg160_p --> 2agpg160_c,,,
2AGPG161tipp,0.0,2agpg161_p --> 2agpg161_c,,,
2AGPG180tipp,0.0,2agpg180_p --> 2agpg180_c,,,
2AGPG181tipp,0.0,2agpg181_p --> 2agpg181_c,,,
2AGPGAT120_num1,0.0,2agpg120_c + atp_c + ddca_c --> amp_c + pg120_c + ppi_c,,2014.231870641555,0.0
2AGPGAT141_num1,0.0,2agpg141_c + atp_c + ttdcea_c --> amp_c + pg141_c + ppi_c,,1107.5118185283034,0.0
2AGPGAT160_num1,0.0,2agpg160_c + atp_c + hdca_c --> amp_c + pg160_c + ppi_c,,1269.1555046989108,0.0
2AGPGAT161_num1,0.0,2agpg161_c + atp_c + hdcea_c --> amp_c + pg161_c + ppi_c,,1159.288311754826,0.0
2AGPGAT180_num1,0.0,2agpg180_c + atp_c + ocdca_c --> amp_c + pg180_c + ppi_c,,1159.288311754826,0.0
2AGPGAT181_num1,0.0,2agpg181_c + atp_c + ocdcea_c --> amp_c + pg181_c + ppi_c,,1673.2647201254297,0.0
2DGLCNRx,0.0,2dhglcn_c + h_c + nadh_c --> glcn_c + nad_c,,,
2DGLCNRy,0.0,2dhglcn_c + h_c + nadph_c --> glcn_c + nadp_c,1.1.1.215,,
2DGULRGx,0.0,2dhguln_c + h_c + nadh_c --> glcn_c + nad_c,,,
2DGULRGy,0.0,2dhguln_c + h_c + nadph_c --> glcn_c + nadp_c,,,
2DGULRx,0.0,2dhguln_c + h_c + nadh_c --> idon__L_c + nad_c,,,
2DGULRy,0.0,2dhguln_c + h_c + nadph_c --> idon__L_c + nadp_c,,,
2DHGLCK,0.0,2dhglcn_c + atp_c + 2.0 h_c --> 6p2dhglcn_c + adp_c,2.7.1.13,,
2DHGLCNkt_tpp,0.0,2dhglcn_p + h_p --> 2dhglcn_c + h_c,,,
2DHGLCNtex,0.0,2dhglcn_e --> 2dhglcn_p,,,
2DHPFALDL,0.0,2dhp_c --> 3mob_c + fald_c,"2.1.2.11,4.1.2.12",,
2HH24DDH,0.0,2hh24dd_c + h2o_c --> 4h2kpi_c,,,
2HXMPt6,0.0,2hxmp_e + h_e --> 2hxmp_c + h_c,,,
2PGLYCt6,0.0,2pglyc_e + h_e --> 2pglyc_c + h_c,,,
2S6HCCi,0.00752920497367913,akg_c + h_c + ichor_c --> 2shchc_c + co2_c + pyr_c,"2.2.1.9,2.5.1.64,4.1.1.71,4.1.3.-,4.2.99.20",,
34DHCINMtex,0.0,34dhcinm_e --> 34dhcinm_p,,,
34DHCINMtpp,0.0,34dhcinm_p --> 34dhcinm_c,,,
34DHPHEtex,0.0,34dhphe_e --> 34dhphe_p,,,
34DHPHEtpp,0.0,34dhphe_p + h_p --> 34dhphe_c + h_c,,,
34HPPOR,0.0,34hpp_c + o2_c --> co2_c + hgentis_c,1.13.11.27,584.2621794100338,0.0
34dhpactex,0.0,34dhpac_e --> 34dhpac_p,,,
3A2OA,0.0,akg_c + ala_B_c --> glu__L_c + msa_c,,1254.7811433428076,0.0
3AIBT2,0.0,ala__L_c + mmtsa_c --> 3aib_c + pyr_c,,,
3AMPt6,0.0,3amp_e + h_e --> 3amp_c + h_c,,,
3CMPt6,0.0,3cmp_e + h_e --> 3cmp_c + h_c,,,
3GMPtex_1,0.0,3gmp_e --> 3gmp_c,,,
3HAACOAT80,0.0,3hoctACP_c + coa_c --> ACP_c + R_3hocoa_c,,,
3HAD80,0.0,3hoctACP_c --> h2o_c + toct2eACP_c,"2.3.1.-,2.3.1.85,2.3.1.86,4.2.1.58,4.2.1.59,4.2.1.61",,
